runs,parametros,kl_score,best
7,"{'perplexity': 65, 'n_iter': 2000, 'metric': 'cosine', 'learning_rate': 0.008483428982440717}",-0.1402479439973831,"TSNE(learning_rate=0.008483428982440717, metric='cosine', n_iter=2000,
     perplexity=65, random_state=7)"
7,"{'perplexity': 30, 'n_iter': 5000, 'metric': 'correlation', 'learning_rate': 0.003727593720314938}",0.3468626797199249,"TSNE(learning_rate=0.008483428982440717, metric='cosine', n_iter=2000,
     perplexity=65, random_state=7)"
7,"{'perplexity': 35, 'n_iter': 1000, 'metric': 'cosine', 'learning_rate': 0.11787686347935866}",0.20669689178466796,"TSNE(learning_rate=0.008483428982440717, metric='cosine', n_iter=2000,
     perplexity=65, random_state=7)"
8,"{'perplexity': 25, 'n_iter': 1000, 'metric': 'correlation', 'learning_rate': 0.00031622776601683794}",0.508731210231781,"TSNE(learning_rate=0.07196856730011514, metric='cosine', perplexity=65,
     random_state=8)"
8,"{'perplexity': 40, 'n_iter': 2000, 'metric': 'correlation', 'learning_rate': 0.003727593720314938}",0.09272573590278625,"TSNE(learning_rate=0.07196856730011514, metric='cosine', perplexity=65,
     random_state=8)"
8,"{'perplexity': 35, 'n_iter': 5000, 'metric': 'correlation', 'learning_rate': 0.022758459260747887}",0.21083611845970154,"TSNE(learning_rate=0.07196856730011514, metric='cosine', perplexity=65,
     random_state=8)"
8,"{'perplexity': 65, 'n_iter': 1000, 'metric': 'cosine', 'learning_rate': 0.07196856730011514}",-0.000404228363186121,"TSNE(learning_rate=0.07196856730011514, metric='cosine', perplexity=65,
     random_state=8)"
8,"{'perplexity': 25, 'n_iter': 5000, 'metric': 'cosine', 'learning_rate': 0.03727593720314938}",0.5007501065731048,"TSNE(learning_rate=0.07196856730011514, metric='cosine', perplexity=65,
     random_state=8)"
8,"{'perplexity': 50, 'n_iter': 5000, 'metric': 'cosine', 'learning_rate': 0.0013894954943731374}",-0.0,"TSNE(learning_rate=0.07196856730011514, metric='cosine', perplexity=65,
     random_state=8)"
8,"{'perplexity': 40, 'n_iter': 5000, 'metric': 'cosine', 'learning_rate': 0.03727593720314938}",0.09183350652456283,"TSNE(learning_rate=0.07196856730011514, metric='cosine', perplexity=65,
     random_state=8)"
8,"{'perplexity': 65, 'n_iter': 2000, 'metric': 'cosine', 'learning_rate': 0.2682695795279725}",-0.0,"TSNE(learning_rate=0.07196856730011514, metric='cosine', perplexity=65,
     random_state=8)"
8,"{'perplexity': 40, 'n_iter': 1000, 'metric': 'cosine', 'learning_rate': 0.004393970560760791}",0.07373234257102013,"TSNE(learning_rate=0.07196856730011514, metric='cosine', perplexity=65,
     random_state=8)"
8,"{'perplexity': 50, 'n_iter': 5000, 'metric': 'correlation', 'learning_rate': 0.026826957952797246}",-0.0,"TSNE(learning_rate=0.07196856730011514, metric='cosine', perplexity=65,
     random_state=8)"
9,"{'perplexity': 30, 'n_iter': 5000, 'metric': 'cosine', 'learning_rate': 0.00026826957952797245}",0.3407714247703552,"TSNE(learning_rate=0.00022758459260747887, metric='correlation', n_iter=2000,
     perplexity=60, random_state=9)"
9,"{'perplexity': 60, 'n_iter': 2000, 'metric': 'correlation', 'learning_rate': 0.00022758459260747887}",-0.0,"TSNE(learning_rate=0.00022758459260747887, metric='correlation', n_iter=2000,
     perplexity=60, random_state=9)"
9,"{'perplexity': 50, 'n_iter': 2000, 'metric': 'correlation', 'learning_rate': 0.13894954943731375}",-0.0,"TSNE(learning_rate=0.00022758459260747887, metric='correlation', n_iter=2000,
     perplexity=60, random_state=9)"
9,"{'perplexity': 25, 'n_iter': 5000, 'metric': 'cosine', 'learning_rate': 0.0003727593720314938}",0.5007501065731048,"TSNE(learning_rate=0.00022758459260747887, metric='correlation', n_iter=2000,
     perplexity=60, random_state=9)"
9,"{'perplexity': 40, 'n_iter': 1000, 'metric': 'cosine', 'learning_rate': 0.03162277660168379}",0.09183350652456283,"TSNE(learning_rate=0.00022758459260747887, metric='correlation', n_iter=2000,
     perplexity=60, random_state=9)"
9,"{'perplexity': 55, 'n_iter': 2000, 'metric': 'correlation', 'learning_rate': 0.011787686347935866}",-0.0,"TSNE(learning_rate=0.00022758459260747887, metric='correlation', n_iter=2000,
     perplexity=60, random_state=9)"
9,"{'perplexity': 60, 'n_iter': 2000, 'metric': 'cosine', 'learning_rate': 0.0011787686347935866}",-0.0,"TSNE(learning_rate=0.00022758459260747887, metric='correlation', n_iter=2000,
     perplexity=60, random_state=9)"
9,"{'perplexity': 65, 'n_iter': 1000, 'metric': 'cosine', 'learning_rate': 0.0022758459260747866}",-0.0,"TSNE(learning_rate=0.00022758459260747887, metric='correlation', n_iter=2000,
     perplexity=60, random_state=9)"
9,"{'perplexity': 55, 'n_iter': 1000, 'metric': 'correlation', 'learning_rate': 0.00043939705607607906}",-0.0,"TSNE(learning_rate=0.00022758459260747887, metric='correlation', n_iter=2000,
     perplexity=60, random_state=9)"
9,"{'perplexity': 60, 'n_iter': 5000, 'metric': 'correlation', 'learning_rate': 0.006105402296585327}",-0.0,"TSNE(learning_rate=0.00022758459260747887, metric='correlation', n_iter=2000,
     perplexity=60, random_state=9)"
